time,open,high,low,upstop,downstop,volume,money,close
2008/4/1,4.512,4.628,4.183,5.0948,4.1674,79590208,15060965,4.1987
2008/4/2,4.2864,4.4494,4.0734,4.6186,3.7788,76471291.39,14879058,4.183
2008/4/3,4.183,4.371,4.1517,4.6029,3.7663,34263183.34,6639563,4.3616
2008/4/7,4.324,4.6436,4.2864,4.7972,3.9261,53019075.67,9670526,4.6374
2008/4/8,4.6342,4.7502,4.559,5.1011,4.1736,69737541.28,12327786,4.6969
2008/4/9,4.6499,4.7314,4.299,5.1669,4.2269,78771392.36,14483901,4.299
2008/4/10,4.2018,4.44,4.1548,4.7282,3.8697,76202311.98,14675881,4.4118
2008/4/11,4.418,4.5684,4.418,4.8536,3.97,45626073,8407402,4.4964
2008/4/14,4.3867,4.4494,4.1705,4.9476,4.0483,46315395.89,8926896,4.1862
2008/4/15,4.1674,4.324,4.089,4.606,3.7663,38166669.54,7517205,4.324
2008/4/16,4.3836,4.4462,4.2676,4.7564,3.8916,45243954.37,8564102,4.3491
2008/4/17,4.3272,4.44,4.042,4.7846,3.9136,34757017.82,6806781,4.1517
2008/4/18,4.136,4.136,3.8164,4.5684,3.7381,43754294.52,9168966,3.8258
2008/4/21,4.1298,4.1674,3.5031,4.2081,3.4436,111449088.1,24163946,3.6034
2008/4/22,3.5125,3.5376,3.312,3.9637,3.243,48417758.2,11660629,3.5125
2008/4/23,3.453,3.7788,3.4091,3.8634,3.1616,58709357.55,13275552,3.7444
2008/4/24,4.1204,4.1204,3.9919,4.1204,3.3684,202153477.4,40870600,4.1204
2008/4/25,4.1486,4.4337,4.1047,4.534,3.7099,172393285.5,33338765,4.2927
2008/4/28,4.1956,4.4995,4.1486,4.722,3.8634,161295781.7,30444036,4.4337
2008/4/29,4.3366,4.4086,4.2144,4.8786,3.9919,151691956.5,29264437,4.2927
2008/4/30,4.3397,4.512,4.2833,4.722,3.8634,168731187.6,31766740,4.4807
2008/5/5,4.5402,4.628,4.4337,4.9288,4.0326,133269370.6,24185198,4.6029
2008/5/6,4.5308,4.6092,4.4337,5.0635,4.1423,125633780.7,23001834,4.4807
2008/5/7,4.4086,4.5277,4.1047,4.9288,4.0326,111811406.5,21255786,4.1047
2008/5/8,4.1078,4.2582,4.089,4.5152,3.6942,77271884.88,15215949,4.2488
2008/5/9,4.2488,4.4274,4.2018,4.675,3.8227,104926722.9,20060259,4.3146
2008/5/12,4.2457,4.747,4.1956,4.747,3.8822,287827810.8,51708186,4.7188
2008/5/16,4.6938,4.9632,4.4431,5.192,4.2457,358515393.5,62943780,4.7
2008/5/19,4.7,4.7157,4.4431,5.17,4.23,149621051.1,27078892,4.5935
2008/5/20,4.559,4.5747,4.1329,5.0541,4.1329,146656316.5,27747047,4.1862
2008/5/21,4.136,4.4807,3.8572,4.606,3.7663,143249981.9,28635893,4.3961
2008/5/22,4.4212,4.8348,4.418,4.8348,3.9574,429615855.5,76130633,4.6374
2008/5/23,4.5528,4.5935,4.2927,5.1011,4.1736,169614581.3,31665953,4.393
2008/5/26,4.346,4.346,4.0514,4.8316,3.9543,111798951.8,22338975,4.0734
2008/5/27,4.0734,4.1956,3.97,4.4807,3.666,58355556.57,11868825,4.042
2008/5/28,4.0953,4.23,4.0107,4.4462,3.6378,66921131.6,13408932,4.1548
2008/5/29,4.1329,4.1329,3.9794,4.5716,3.7381,61532371.52,12554700,3.995
2008/5/30,3.995,4.1141,3.9731,4.3961,3.5971,40588585.17,8313883,4.017
2008/6/2,3.9355,4.0483,3.8728,4.418,3.6159,66829497.23,13965106,3.9574
2008/6/3,3.948,4.0044,3.8697,4.3522,3.5626,40129371.01,8482090,3.8916
2008/6/4,3.8415,3.9104,3.7788,4.2802,3.5031,44509730.23,9641731,3.7945
2008/6/5,3.7945,3.8133,3.6974,4.1736,3.4154,36134390.75,7974735,3.7005
2008/6/6,3.7318,3.7569,3.6441,4.0702,3.3308,26269858.44,5882308,3.7224
2008/6/10,3.4718,3.5407,3.3496,4.0953,3.3496,40860807.65,9882127,3.3496
2008/6/11,3.2462,3.4718,3.1052,3.6848,3.0143,82443512.59,20999983,3.3057
2008/6/13,3.2744,3.3026,2.9767,3.6378,2.9767,57651336.87,15399991,2.9767
2008/6/16,3.008,3.0582,2.7511,3.2744,2.679,47584519.79,13698279,2.8827
2008/6/17,2.8545,2.9109,2.6038,3.171,2.5944,46157178.23,13895123,2.6352
2008/6/18,2.632,2.8232,2.5067,2.8984,2.372,60589628.19,18514077,2.8075
2008/6/19,2.7762,2.7762,2.5255,3.0895,2.5255,46577330.25,14694462,2.5255
2008/6/20,2.5474,2.6822,2.3908,2.7793,2.2717,57435464.83,18652017,2.5067
2008/6/23,2.5004,2.5756,2.4378,2.7574,2.256,28869168.77,9544785,2.5036
2008/6/24,2.5224,2.7542,2.5067,2.7542,2.2529,79266413.02,24368810,2.7323
2008/6/25,2.7198,2.9798,2.6728,3.0049,2.4597,111862267.9,32283908,2.9704
